Ano,Festival,Categoria,Título,Diretor,Premiado,Empate,Verificado
2026,oscar,Filme,One Battle After Another,Paul Thomas Anderson,,N,N
2026,oscar,Direção,One Battle After Another,Paul Thomas Anderson,,N,N
2026,oscar,Roteiro,One Battle After Another,,Paul Thomas Anderson,N,N
2026,oscar,Roteiro,Sinners,,Ryan Coogler,N,N
2026,oscar,Ator,Sinners,,Michael B. Jordan,N,N
2026,oscar,Atriz,Hamnet,,Jessie Buckley,N,N
2025,oscar,Filme,Anora,Sean Baker,,N,N
2025,oscar,Direção,Anora,Sean Baker,,N,N
2025,oscar,Roteiro,Anora,,Sean Baker,N,N
2025,oscar,Roteiro,Conclave,,Peter Straughan,N,N
2025,oscar,Ator,The Brutalist,,Adrien Brody,N,N
2025,oscar,Atriz,Anora,,Mikey Madison,N,N
2024,oscar,Filme,Oppenheimer,Christopher Nolan,,N,N
2024,oscar,Direção,Oppenheimer,Christopher Nolan,,N,N
2024,oscar,Roteiro,American Fiction,,Cord Jefferson,N,N
2024,oscar,Roteiro,Anatomy of a Fall,,Justine Triet; Arthur Harari,N,N
2024,oscar,Ator,Oppenheimer,,Cillian Murphy,N,N
2024,oscar,Atriz,Poor Things,,Emma Stone,N,N
2023,oscar,Filme,Everything Everywhere All at Once,Dan Kwan; Daniel Scheinert,,N,N
2023,oscar,Direção,Everything Everywhere All at Once,Dan Kwan; Daniel Scheinert,,N,N
2023,oscar,Roteiro,Everything Everywhere All at Once,,Dan Kwan; Daniel Scheinert,N,N
2023,oscar,Roteiro,Women Talking,,Sarah Polley,N,N
2023,oscar,Ator,The Whale,,Brendan Fraser,N,N
2023,oscar,Atriz,Everything Everywhere All at Once,,Michelle Yeoh,N,N
2022,oscar,Filme,CODA,Siân Héder,,N,N
2022,oscar,Direção,The Power of the Dog,Jane Campion,,N,N
2022,oscar,Roteiro,Belfast,,Kenneth Branagh,N,N
2022,oscar,Roteiro,CODA,,Siân Héder,N,N
2022,oscar,Ator,King Richard,,Will Smith,N,N
2022,oscar,Atriz,The Eyes of Tammy Faye,,Jessica Chastain,N,N
2021,oscar,Filme,Nomadland,Chloé Zhao,,N,N
